time,unemployment_rate
1962/1/1,1.1
1962/4/1,0.5
1962/7/1,0.4
1962/10/1,0.7
1963/1/1,1.6
1963/4/1,0.6
1963/7/1,0.5
1963/10/1,0.7
1964/1/1,1.3
1964/4/1,0.6
1964/7/1,0.5
1964/10/1,0.7
1965/1/1,1.2
1965/4/1,0.5
1965/7/1,0.4
1965/10/1,0.6
1966/1/1,0.9
1966/4/1,0.5
1966/7/1,0.5
1966/10/1,1.1
1967/1/1,2.9
1967/4/1,2.1
1967/7/1,1.7
1967/10/1,2
1968/1/1,2.7
1968/4/1,1.3
1968/7/1,0.9
1968/10/1,1
1969/1/1,1.6
1969/4/1,0.6
1969/7/1,0.5
1969/10/1,0.7
1970/1/1,1.1
1970/4/1,0.5
1970/7/1,0.5
1970/10/1,0.6
1971/1/1,1.2
1971/4/1,0.7
1971/7/1,0.7
1971/10/1,1
1972/1/1,1.5
1972/4/1,1
1972/7/1,0.9
1972/10/1,1.1
1973/1/1,1.5
1973/4/1,1
1973/7/1,1
1973/10/1,1.6
1974/1/1,2.6
1974/4/1,2.1
1974/7/1,2.3
1974/10/1,3.6
1975/1/1,5
1975/4/1,4.5
1975/7/1,4.5
1975/10/1,4.9
1976/1/1,5.7
1976/4/1,4.3
1976/7/1,4
1976/10/1,4.4
1977/1/1,5.2
1977/4/1,4.3
1977/7/1,4.2
1977/10/1,4.5
1978/1/1,5.2
1978/4/1,4.1
1978/7/1,3.9
1978/10/1,4.1
1979/1/1,4.8
1979/4/1,3.5
1979/7/1,3.4
1979/10/1,3.5
1980/1/1,4.2
1980/4/1,3.4
1980/7/1,3.6
1980/10/1,4.3
1981/1/1,5.5
1981/4/1,4.8
1981/7/1,5.4
1981/10/1,6.5
1982/1/1,8
1982/4/1,7
1982/7/1,7.4
1982/10/1,8.5
1983/1/1,10.1
1983/4/1,8.9
1983/7/1,8.8
1983/10/1,9
1984/1/1,10
1984/4/1,8.7
1984/7/1,8.8
1984/10/1,8.9
1985/1/1,10.4
1985/4/1,8.9
1985/7/1,8.9
1985/10/1,9
1986/1/1,10.2
1986/4/1,8.6
1986/7/1,8.4
1986/10/1,8.4
1987/1/1,9.9
1987/4/1,8.5
1987/7/1,8.6
1987/10/1,8.7
1988/1/1,9.8
1988/4/1,8.6
1988/7/1,8.4
1988/10/1,8.2
1989/1/1,8.8
1989/4/1,7.6
1989/7/1,7.5
1989/10/1,7.6
1990/1/1,8.1
1990/4/1,7.1
1990/7/1,6.9
1990/10/1,6.6
1991/1/1,6.8
1991/4/1,6
1991/7/1,6.2
1991/10/1,6.2
